Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
4,AIR,401,1937,38000,3.3,1,3.3,50,165
4,AIR,402,1907,38000,3.3,1,3.3,22,72.6
4,AIR,402,1908,38000,3.3,1,3.3,22,72.6
4,AIR,403,1903,38000,3.3,1,3.3,42,138.6
4,AIR,403,1904,38000,3.3,1,3.3,42,138.6
4,AIR,404,1899,38000,3.3,1,3.3,42,138.6
4,AIR,404,1900,38000,3.3,1,3.3,42,138.6
4,AIR,405,1896,38000,3.3,1,3.3,50,165
4,AIR,406,1895,38000,3.3,1,3.3,50,165
4,AIR,407,1897,38000,3.3,1,3.3,43,141.9
4,AIR,407,1898,38000,3.3,1,3.3,43,141.9
4,AIR,408,1901,38000,3.3,1,3.3,49,161.7
4,AIR,408,1902,38000,3.3,1,3.3,49,161.7
4,AIR,409,1905,38000,3.3,1,3.3,36,118.8
4,AIR,409,1906,38000,3.3,1,3.3,36,118.8
4,AIR,410,1938,38000,3.3,1,3.3,50,165
4,AIR,411,1909,38000,3.3,1,3.3,12,39.6
4,AIR,411,1910,38000,3.3,1,3.3,12,39.6
4,AIR,412,191,38000,3.3,1,3.3,18,59.4
4,AIR,412,1912,38000,3.3,1,3.3,18,59.4
4,PC,0,0,0,0.5,222,111,40,4440
4,lamp,0,0,0,0.024,284,6.816,40,272.64
