Class,Tools,Room,Number,BTU,Power,amount,PowerHr,time,SumPower
4,AIR,401,1937,38000,3.3,1,3.577,50,146.745
4,AIR,402,1907,38000,3.3,1,3.944,22,54.852
4,AIR,402,1908,38000,3.3,1,2.803,22,69.364
4,AIR,403,1903,38000,3.3,1,2.761,42,119.532
4,AIR,403,1904,38000,3.3,1,2.722,42,147.975
4,AIR,404,1899,38000,3.3,1,2.717,42,153.468
4,AIR,404,1900,38000,3.3,1,2.952,42,154.657
4,AIR,405,1896,38000,3.3,1,3.768,50,147.77
4,AIR,406,1895,38000,3.3,1,3.812,50,145.024
4,AIR,407,1897,38000,3.3,1,3.24,43,163.124
4,AIR,407,1898,38000,3.3,1,3.482,43,157.29
4,AIR,408,1901,38000,3.3,1,3.467,49,178.526
4,AIR,408,1902,38000,3.3,1,3.952,49,159.756
4,AIR,409,1905,38000,3.3,1,3.081,36,111.767
4,AIR,409,1906,38000,3.3,1,3.879,36,109.543
4,AIR,410,1938,38000,3.3,1,2.834,50,186.477
4,AIR,411,1909,38000,3.3,1,2.806,12,29.585
4,AIR,411,1910,38000,3.3,1,3.66,12,26.397
4,AIR,412,191,38000,3.3,1,3.774,18,57.209
4,AIR,412,1912,38000,3.3,1,3.195,18,61.119
4,PC,0,0,0,0.5,222,110.842,40,4422.583
4,lamp,0,0,0,0.024,284,7.257,40,286.187
4,AIR,401,1937,38000,3.3,1,3.193,50,168.313
4,AIR,402,1907,38000,3.3,1,3.331,22,80.143
4,AIR,402,1908,38000,3.3,1,2.8,22,59.704
4,AIR,403,1903,38000,3.3,1,3.906,42,153.748
4,AIR,403,1904,38000,3.3,1,2.841,42,143.894
4,AIR,404,1899,38000,3.3,1,3.499,42,133.007
4,AIR,404,1900,38000,3.3,1,2.867,42,131.312
4,AIR,405,1896,38000,3.3,1,2.764,50,144.6
4,AIR,406,1895,38000,3.3,1,3.225,50,164.629
4,AIR,407,1897,38000,3.3,1,3.843,43,132.947
4,AIR,407,1898,38000,3.3,1,3.268,43,146.141
4,AIR,408,1901,38000,3.3,1,3.207,49,163.566
4,AIR,408,1902,38000,3.3,1,2.649,49,161.198
4,AIR,409,1905,38000,3.3,1,3.739,36,112.704
4,AIR,409,1906,38000,3.3,1,2.774,36,108.818
4,AIR,410,1938,38000,3.3,1,3.239,50,165.286
4,AIR,411,1909,38000,3.3,1,2.791,12,32.15
4,AIR,411,1910,38000,3.3,1,3.741,12,46.172
4,AIR,412,191,38000,3.3,1,3.5,18,49.183
4,AIR,412,1912,38000,3.3,1,3.673,18,69.386
4,PC,0,0,0,0.5,222,110.578,40,4446.371
4,lamp,0,0,0,0.024,284,6.403,40,294.809
4,AIR,401,1937,38000,3.3,1,3.231,50,156.119
4,AIR,402,1907,38000,3.3,1,3.451,22,67.275
4,AIR,402,1908,38000,3.3,1,3.722,22,90.243
4,AIR,403,1903,38000,3.3,1,2.828,42,145.368
4,AIR,403,1904,38000,3.3,1,3.862,42,131.971
